"input","match","din/npn","dtc","ahfs","database","type","matches","both"
"cod liver oil","COD LIVER OIL","00179957","A11CB","88:04.01","drug","direct","1","yes"
"Cod Liver Oil","COD LIVER OIL","00179957","A11CB","88:04.01","drug","direct","1","yes"
"cod liver oil","COD LIVER OIL","00179957","A11CB","88:04.01","drug","direct","1","yes"
"Cod Liver Oil","COD LIVER OIL","00179957","A11CB","88:04.01","drug","direct","1","yes"
"cod liver oil","COD LIVER OIL","00179957","A11CB","88:04.01","drug","direct","1","yes"
"cod liver oil","COD LIVER OIL","00179957","A11CB","88:04.01","drug","direct","1","yes"
"Cod Liver Oil","COD LIVER OIL","00179957","A11CB","88:04.01","drug","direct","1","yes"
"cod liver oil","COD LIVER OIL","00179957","A11CB","88:04.01","drug","direct","1","yes"
"Cod liver oil","COD LIVER OIL","00179957","A11CB","88:04.01","drug","direct","1","yes"
"cod liver oil","COD LIVER OIL","00179957","A11CB","88:04.01","drug","direct","1","yes"
"cod liver oil","COD LIVER OIL","00179957","A11CB","88:04.01","drug","direct","1","yes"
"cod liver oil","COD LIVER OIL","00179957","A11CB","88:04.01","drug","direct","1","yes"
"Cod Liver Oil","COD LIVER OIL","00179957","A11CB","88:04.01","drug","direct","1","yes"
"cod liver oil","COD LIVER OIL","00179957","A11CB","88:04.01","drug","direct","1","yes"
"Cod Liver oil","COD LIVER OIL","00179957","A11CB","88:04.01","drug","direct","1","yes"
"cod liver oil","COD LIVER OIL","00179957","A11CB","88:04.01","drug","direct","1","yes"
"cod liver oil","COD LIVER OIL","00179957","A11CB","88:04.01","drug","direct","1","yes"
"cod liver oil","COD LIVER OIL","00179957","A11CB","88:04.01","drug","direct","1","yes"
"cod liver oil","COD LIVER OIL","00179957","A11CB","88:04.01","drug","direct","1","yes"
"cod liver oil","COD LIVER OIL","00179957","A11CB","88:04.01","drug","direct","1","yes"
"Cod Liver Oil","COD LIVER OIL","00179957","A11CB","88:04.01","drug","direct","1","yes"
"cod liver oil","COD LIVER OIL","00179957","A11CB","88:04.01","drug","direct","1","yes"
"cod liver oil 1500mg","COD LIVER OIL","00179957","A11CB","88:04.01","drug","word","1","yes"
"cod liver oil 20 minims","Cod Liver Oil Capsules 20 Minims","00305146","","","natural","direct","1",""
"cod liver oil 500mg","COD LIVER OIL","00179957","A11CB","88:04.01","drug","word","1","yes"
"codeine 30 mg","CODEINE 30","02009757","R05DA04","28:08.08","drug","word","1","no"
"Coenzyme B complex","B Complex","02239815","","","natural","word","1",""
"coenzyme q 10","CO-ENZYME Q-10","02165147","C01EB09","88:30.00","drug","simple","4","yes"
"coenzyme q 10","CO-ENZYME Q-10","02165147","C01EB09","88:30.00","drug","simple","4","yes"
"coenzyme q 10","CO-ENZYME Q-10","02165147","C01EB09","88:30.00","drug","simple","4","yes"
"coenzyme q 10","CO-ENZYME Q-10","02165147","C01EB09","88:30.00","drug","simple","4","yes"
"coenzyme q 10","CO-ENZYME Q-10","02165147","C01EB09","88:30.00","drug","simple","4","yes"
"Coenzyme Q10","COENZYME Q10","02229620","C01EB09","88:30.00","drug","direct","1","yes"
"coenzyme Q10","COENZYME Q10","02229620","C01EB09","88:30.00","drug","direct","1","yes"
"Coenzyme Q10","COENZYME Q10","02229620","C01EB09","88:30.00","drug","direct","1","yes"
"coenzyme q10","COENZYME Q10","02229620","C01EB09","88:30.00","drug","direct","1","yes"
"coenzyme q10","COENZYME Q10","02229620","C01EB09","88:30.00","drug","direct","1","yes"
"coenzyme Q10","COENZYME Q10","02229620","C01EB09","88:30.00","drug","direct","1","yes"
"Coenzyme Q10","COENZYME Q10","02229620","C01EB09","88:30.00","drug","direct","1","yes"
"coenzyme q10","COENZYME Q10","02229620","C01EB09","88:30.00","drug","direct","1","yes"
"coenzyme Q10","COENZYME Q10","02229620","C01EB09","88:30.00","drug","direct","1","yes"
"Coenzyme Q10   150mg","COENZYME Q10","02229620","C01EB09","88:30.00","drug","word","1","yes"
"cold fx","Cold-Fx","80002849","","","natural","simple","1",""
"COLD FX","Cold-Fx","80002849","","","natural","simple","1",""
"cold fx","Cold-Fx","80002849","","","natural","simple","1",""
"Cold FX Extra","Extra","80062086","","","natural","word","1",""
"Cold-FX","Cold-Fx","80002849","","","natural","direct","1",""
"collagen","Collagen","80028920","","","natural","direct","1",""
"collagen","Collagen","80028920","","","natural","direct","1",""
"collagen 500 et 400 mg","Collagen","80028920","","","natural","word","1",""
"Collagen Glucosamine","Glucosamine","80000334","","","natural","word","2",""
"collagene","Collagène","80069771","","","natural","direct","1",""
"colon health","Qualitylab Colon Gold","80060117","","","natural","direct","1",""
"complete diabetic multivitamin formula","MULTIVITAMIN","02236800","N02BE51","48:08.00","drug","word","2","yes"
"Complete multivitamines","MULTIVITAMINES","02237421","N02BE51","48:08.00 88:28.00","drug","word","2","yes"
"Complete Probiotic","Complete Probiotic","80011612","","","natural","direct","1",""
"Complete Probiotics","COMPLETE","02427559","N02BE51","48:08.00","drug","word","1","yes"
"complex b 100","Balanced B Complex 100 Timed Release Tablets","02243425","","","natural","word","1",""
"ConcenTrace - multi-mineral","Concentrace","80036803","","","natural","word","1",""
"Concentrated Tart Cherry Juice","Tart Cherry","80068957","","","natural","word","1",""
"Conjugated estrogen","Estro Support Formula","80046175","","","natural","word","1",""
"conjugated linoleic acid 1000mg","Conjugated Linoleic Acid 1000mg","80043823","","","natural","direct","1",""
"CoQ-10","COQ-10","02240715","C01EB09","88:30.00","drug","direct","1","yes"
"coQ-10","COQ-10","02240715","C01EB09","88:30.00","drug","direct","1","yes"
"CoQ10","COQ10","00833290","C01EB09","88:30.00","drug","direct","1","yes"
"coQ10","COQ10","00833290","C01EB09","88:30.00","drug","direct","1","yes"
"CoQ10","COQ10","00833290","C01EB09","88:30.00","drug","direct","1","yes"
"COQ10","COQ10","00833290","C01EB09","88:30.00","drug","direct","1","yes"
"coQ10","COQ10","00833290","C01EB09","88:30.00","drug","direct","1","yes"
"Coral Calcium","CORAL CALCIUM","02247680","A12AA04","88:29.00","drug","direct","1","yes"
"Cortef","Cortef","02239384","","","natural","direct","1",""
"cortisone cream","Cortisone","80016415","","","natural","word","1",""
"cortisone cream","Cortisone","80016415","","","natural","word","1",""
"Cortrex","Cortrex","02231921","","","natural","direct","1",""
"Cosopt","COSOPT","02240113","S01ED51","52:40.08 52:40.12","drug","direct","2","no"
"Costco Senior Multivitamin","MULTIVITAMIN","02236800","","","drug","word","1","yes"
"cough medicine","Cough Medicine","00392022","","","natural","direct","1",""
"coumadin","COUMADIN","02229741","B01AA03","20:12.04.08","drug","direct","1","no"
"coumadin","COUMADIN","02229741","B01AA03","20:12.04.08","drug","direct","1","no"
"coumadin","COUMADIN","02229741","B01AA03","20:12.04.08","drug","direct","1","no"
"Coumadin","COUMADIN","02229741","B01AA03","20:12.04.08","drug","direct","1","no"
"coumadin","COUMADIN","02229741","B01AA03","20:12.04.08","drug","direct","1","no"
"Coumadin","COUMADIN","02229741","B01AA03","20:12.04.08","drug","direct","1","no"
"coumadin","COUMADIN","02229741","B01AA03","20:12.04.08","drug","direct","1","no"
"Coumadin","COUMADIN","02229741","B01AA03","20:12.04.08","drug","direct","1","no"
"coumadin","COUMADIN","02229741","B01AA03","20:12.04.08","drug","direct","1","no"
"Coumadin","COUMADIN","02229741","B01AA03","20:12.04.08","drug","direct","1","no"
"coumadin","COUMADIN","02229741","B01AA03","20:12.04.08","drug","direct","1","no"
"coumadin","COUMADIN","02229741","B01AA03","20:12.04.08","drug","direct","1","no"
"coumadin","COUMADIN","02229741","B01AA03","20:12.04.08","drug","direct","1","no"
"coversall plus","Plus","80039392","","","natural","word","1",""
"Coversil Plus","Plus","80039392","","","natural","word","1",""
"Coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","direct","1","no"
"Coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","direct","1","no"
"coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","direct","1","no"
"coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","direct","1","no"
"coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","direct","1","no"
"Coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","direct","1","no"
"coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","direct","1","no"
"Coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","direct","1","no"
"Coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","direct","1","no"
"coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","direct","1","no"
"coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","direct","1","no"
"coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","direct","1","no"
"Coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","direct","1","no"
"coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","direct","1","no"
"coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","direct","1","no"
"Coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","direct","1","no"
"coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","direct","1","no"
"coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","direct","1","no"
"coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","direct","1","no"
"coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","direct","1","no"
"coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","direct","1","no"
"Coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","direct","1","no"
"coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","direct","1","no"
"Coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","direct","1","no"
"coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","direct","1","no"
"coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","direct","1","no"
"coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","direct","1","no"
"coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","direct","1","no"
"coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","direct","1","no"
"coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","direct","1","no"
"Coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","direct","1","no"
"coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","direct","1","no"
"Coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","direct","1","no"
"coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","direct","1","no"
"Coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","direct","1","no"
"coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","direct","1","no"
"Coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","direct","1","no"
"Coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","direct","1","no"
"coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","direct","1","no"
"coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","direct","1","no"
"coversyl","COVERSYL","02123282","C09AA04","24:32.04","drug","direct","1","no"
"coversyl 4mg","COVERSYL","02123282","C09AA04","24:32.04","drug","word","1","no"
"Coversyl 8mg","COVERSYL","02123282","C09AA04","24:32.04","drug","word","1","no"
"coversyl hd","COVERSYL","02123282","C09AA04","24:32.04","drug","word","1","no"
"coversyl plus","COVERSYL PLUS","02246569","C09BA04","24:32.04 40:28.24","drug","direct","2","no"
"Coversyl Plus","COVERSYL PLUS","02246569","C09BA04","24:32.04 40:28.24","drug","direct","2","no"
"coversyl plus","COVERSYL PLUS","02246569","C09BA04","24:32.04 40:28.24","drug","direct","2","no"
"coversyl plus","COVERSYL PLUS","02246569","C09BA04","24:32.04 40:28.24","drug","direct","2","no"
"coversyl plus","COVERSYL PLUS","02246569","C09BA04","24:32.04 40:28.24","drug","direct","2","no"
"coversyl plus","COVERSYL PLUS","02246569","C09BA04","24:32.04 40:28.24","drug","direct","2","no"
"coversyl plus 4/1.25mg","COVERSYL","02123282","C09AA04 C09BA04","24:32.04 40:28.24","drug","word","3","no"
"coversyl plus hd","COVERSYL PLUS HD","02321653","C09BA04","24:32.04 40:28.24","drug","direct","2","no"
"coversyl plus HD","COVERSYL PLUS HD","02321653","C09BA04","24:32.04 40:28.24","drug","direct","2","no"
"coversyl plus HD","COVERSYL PLUS HD","02321653","C09BA04","24:32.04 40:28.24","drug","direct","2","no"
"Coversyl Plus4","COVERSYL","02123282","C09AA04","24:32.04","drug","word","1","no"
"coversyl-plus","COVERSYL PLUS","02246569","C09BA04","24:32.04 40:28.24","drug","simple","2","no"
"Cozaar","COZAAR","02182815","C09CA01","24:32.08","drug","direct","1","no"
"cozaar","COZAAR","02182815","C09CA01","24:32.08","drug","direct","1","no"
"cozaar","COZAAR","02182815","C09CA01","24:32.08","drug","direct","1","no"
"cran plus","Plus","80039392","","","natural","word","1",""
"Cranberry","Cranberry","80000286","","","natural","direct","1",""
"Cranberry","Cranberry","80000286","","","natural","direct","1",""
"cranberry","Cranberry","80000286","","","natural","direct","1",""
"cranberry","Cranberry","80000286","","","natural","direct","1",""
"cranberry","Cranberry","80000286","","","natural","direct","1",""
"cranberry","Cranberry","80000286","","","natural","direct","1",""
"cranberry 4200mg with vitamin c","VITAMIN C","00780634","A11GA01","88:12.00","drug","word","1","yes"
"Cranberry capsules","Cranberry Capsules","80011830","","","natural","direct","1",""
"Cranberry Complex","Cranberry Complex","80054325","","","natural","direct","1",""
"cranberry concentrate","Cranberry Concentrate","80004610","","","natural","direct","1",""
"cranberry extract","Cranberry Extract","80001609","","","natural","direct","1",""
"cranberry extract","Cranberry Extract","80001609","","","natural","direct","1",""
"cranberry extract","Cranberry Extract","80001609","","","natural","direct","1",""
"cranberry extract","Cranberry Extract","80001609","","","natural","direct","1",""
"cranberry pill","Cranberry","80000286","","","natural","word","1",""
"cranberry pills","Cranberry","80000286","","","natural","word","1",""
"cranberry supplement","Cranberry","80000286","","","natural","word","1",""
"Cranberry Vitamin","Cranberry","80000286","","","natural","word","2",""
"Cranberry with Vit C","Cranberry","80000286","","","natural","word","1",""
"creatine","Creatine","80008844","","","natural","direct","1",""
"Creatine Freak - hybrid concentrated creatine pill","Creatine","80008844","","","natural","word","2",""
"crestor 10 mg","CRESTOR - 10MG","02247162","C10AA07","24:06.08","drug","simple","1","no"
"Crestor 10 mg","CRESTOR - 10MG","02247162","C10AA07","24:06.08","drug","simple","1","no"
"crestor 10 mg","CRESTOR - 10MG","02247162","C10AA07","24:06.08","drug","simple","1","no"
"Crestor 20 mg","CRESTOR - 20MG","02247163","C10AA07","24:06.08","drug","simple","1","no"
"crestor 5 mg","CRESTOR - 5MG","02265540","C10AA07","24:06.08","drug","simple","1","no"
"CRESTOR 5MG","CRESTOR - 5MG","02265540","C10AA07","24:06.08","drug","simple","1","no"
"Critical omega","Critical Omega","80033239","","","natural","direct","1",""
"critical omega","Critical Omega","80033239","","","natural","direct","1",""
"curcuma et bromeline","Curcuma","80001147","","","natural","word","1",""
"Curcumin","Curcumin","80020741","","","natural","direct","1",""
"curves omega 3","Oméga 3","80002335","","","natural","word","2",""
"Customized Multivitamins","MULTIVITAMINS","00244341","A11BA","88:28.00","drug","word","1","yes"
"Cyclosporine","CYCLOSPORINE","02334763","L04AD01","92:44.00","drug","direct","1","no"
"cymbalta","CYMBALTA","02301482","N06AX21","28:16.04.16","drug","direct","1","no"
"Cyolic Aged Garlic Extract","GARLIC","02230334","","92:01.00","drug","word","1","yes"
"cyto matrix multi-strain 11 advanced probiotic formula","PROBIOTIC","02172909","A07FA01","56:08.00","drug","word","1","yes"
"cytozyme-ad","Cytozyme Ad","80038191","","","natural","simple","1",""
"D","Vitamin D 1000 Iu","80000131","","","natural","direct","1",""
"D","Vitamin D 1000 Iu","80000131","","","natural","direct","1",""
"D","Vitamin D 1000 Iu","80000131","","","natural","direct","1",""
"D","Vitamin D 1000 Iu","80000131","","","natural","direct","1",""
"D","Vitamin D 1000 Iu","80000131","","","natural","direct","1",""
"D drops vitamin D3","Vitamin D3","02238918","","","natural","word","2",""
"D GEL","D GEL","02233315","","92:02.00","drug","direct","1","no"
"D-CAL","D-Cal","80021724","","","natural","direct","1",""
"D-Cal 500 mg 400 UI","D-Cal","80021724","","","natural","word","1",""
"d-gel","D GEL","02233315","","92:02.00","drug","simple","1","no"
"D-GEL 1000","D-Gel 1000","80007766","","","natural","direct","1",""
"D-GEL 1000","D-Gel 1000","80007766","","","natural","direct","1",""
"D-Gel 1000 ui","D-Gel 1000","80007766","","","natural","word","1",""
"d-gel 1000 ui","D-Gel 1000","80007766","","","natural","word","1",""
"D-mannose powder","D-Mannose Powder","80061215","","","natural","direct","1",""
"D3","D3","80006299","","","natural","direct","1",""
"D3","D3","80006299","","","natural","direct","1",""
"D3","D3","80006299","","","natural","direct","1",""
"D3","D3","80006299","","","natural","direct","1",""
"D3","D3","80006299","","","natural","direct","1",""
"d3","D3","80006299","","","natural","direct","1",""
"D3","D3","80006299","","","natural","direct","1",""
"D3","D3","80006299","","","natural","direct","1",""
"D3","D3","80006299","","","natural","direct","1",""
"D3","D3","80006299","","","natural","direct","1",""
"D3","D3","80006299","","","natural","direct","1",""
"d3","D3","80006299","","","natural","direct","1",""
"daily -one multivitamin","MULTIVITAMIN","02236800","","","drug","word","1","yes"
"daily low dose ASA","Multivitamins & Multiminerals Formula For Women Tablet","02242937","","","natural","word","1",""
"Daily Low Dose ASA 81 mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","word","1","no"
"daily low dose aspirin","Multivitamins & Multiminerals Formula For Women Tablet","02242937","","","natural","word","1",""
"daily multi-vitamin for women 50+ (compliments brand)","FOR WOMEN","02240798","A11JB","88:28.01","drug","word","1","no"
"daily multivitamin","MULTIVITAMIN","02236800","","","drug","word","1","yes"
"Daily One 50+ Multi Vitamin","MULTI","02243300","S01XA20","52:12.00","drug","word","1","yes"
"dairy digestive supplement","Dairy Digestive","02239139","","","natural","direct","1",""
"Ddrops","Ddrops","80001792","","","natural","direct","1",""
"DHA","Dha","80024137","","","natural","direct","1",""
"diamicron","DIAMICRON","00765996","A10BB09","68:20.20","drug","direct","1","no"
"diamicron mr","DIAMICRON MR","02242987","A10BB09","68:20.20","drug","direct","1","no"
"diarreah relief","Relief","80051410","","","natural","word","1",""
"diatomaceous earth","Diatomaceous Earth","80072572","","","natural","direct","1",""
"Didrocal","DIDROCAL","02176017","M05BB01","92:24.00","drug","direct","1","no"
"diem brand glucosame, chondroitin and msm","Chondroitin","80001847","","","natural","word","1",""
"Digest Gold","Digest Gold","80056878","","","natural","direct","1",""
"digestive advantage","Digestive","80030195","","","natural","word","1",""
"digestive enzemes","Digestive","80030195","","","natural","word","1",""
"digestive enzymes","DIGESTIVE ENZYMES","02236927","A09AC02","56:16.00","drug","direct","1","yes"
"DIN 02237656 ferrous fumarate","AVON CLEARSKIN OVERNIGHT ACNE TREATMENT","02237656","D02AF","84:28.00","drug","code","1","no"
"DIN 2374420 APO-ANASTROZOLE","APO-ANASTROZOLE","02374420","L02BG03","10:00.00","drug","code","1","no"
"DIN 545031 Apo-Ferrous Gluconate  300(35) mg","Apo-Ferrous Gluconate","00545031","","","natural","code","1",""
"diovan","DIOVAN","02270528","C09CA03","24:32.08","drug","direct","1","no"
"Diovan","DIOVAN","02270528","C09CA03","24:32.08","drug","direct","1","no"
"Diovan","DIOVAN","02270528","C09CA03","24:32.08","drug","direct","1","no"
"Diovan","DIOVAN","02270528","C09CA03","24:32.08","drug","direct","1","no"
"diovan","DIOVAN","02270528","C09CA03","24:32.08","drug","direct","1","no"
"diovan","DIOVAN","02270528","C09CA03","24:32.08","drug","direct","1","no"
"diovan","DIOVAN","02270528","C09CA03","24:32.08","drug","direct","1","no"
"Diovan","DIOVAN","02270528","C09CA03","24:32.08","drug","direct","1","no"
"diovan","DIOVAN","02270528","C09CA03","24:32.08","drug","direct","1","no"
"Diovan","DIOVAN","02270528","C09CA03","24:32.08","drug","direct","1","no"
"Diovan","DIOVAN","02270528","C09CA03","24:32.08","drug","direct","1","no"
"diovan","DIOVAN","02270528","C09CA03","24:32.08","drug","direct","1","no"
"diovan","DIOVAN","02270528","C09CA03","24:32.08","drug","direct","1","no"
"diovan","DIOVAN","02270528","C09CA03","24:32.08","drug","direct","1","no"
"diovan","DIOVAN","02270528","C09CA03","24:32.08","drug","direct","1","no"
"Diovan - HCT","DIOVAN","02270528","C09CA03","24:32.08","drug","word","1","no"
"DIOVAN 40MG","DIOVAN","02270528","C09CA03","24:32.08","drug","word","1","no"
"Diovan 80 mg","DIOVAN","02270528","C09CA03","24:32.08","drug","word","1","no"
"diovan hct","DIOVAN","02270528","C09CA03","24:32.08","drug","word","1","no"
"diovan valsartin hydrochlorothiazide","DIOVAN","02270528","C03AA03 C09CA03","24:32.08 40:28.20","drug","word","2","no"
"diphenhydramine hydrochloride","DIPHENHYDRAMINE","02249529","R06AA02","04:04.04","drug","word","1","no"
"ditropan xl","DITROPAN XL","02259117","G04BD04","86:12.04","drug","direct","1","no"
"DitropanXL","DITROPAN XL","02259117","G04BD04","86:12.04","drug","simple","1","no"
"divarius mesilate de paroxetine","PAROXETINE","02248450","N06AB05","28:16.04.20","drug","word","1","no"
"dm glucosamine 760 mg chondroitin 100 mg","Glucosamine","80000334","","","natural","word","2",""
"DMSA","DMSA","NULL","","","drug","direct","1","no"
"dom atorvastatin","ATORVASTATIN","02346486","C10AA05","24:06.08","drug","word","1","no"
"dom atorvastatin","ATORVASTATIN","02346486","C10AA05","24:06.08","drug","word","1","no"
"dom citalopram","CITALOPRAM","02284847","N06AB04","28:16.04.20","drug","word","1","no"
"dom rosuvastatin","ROSUVASTATIN","02381176","C10AA07","24:06.08","drug","word","1","no"
"dom zopiclone","ZOPICLONE","02282445","N05CF01","28:24.92","drug","word","1","no"
"dom zopiclone","ZOPICLONE","02282445","N05CF01","28:24.92","drug","word","1","no"
"Dom-Quetiapine","DOM-QUETIAPINE","02298996","N05AH04","28:16.08.04","drug","direct","1","no"
"Domperidone","DOMPERIDONE","02238341","A03FA03","56:32.00","drug","direct","1","no"
"dorzolamide","DORZOLAMIDE","02364999","S01EC03","52:40.12","drug","direct","1","no"
"Double X (multivitamin)","DOUBLE X","02244249","A11AA03","88:28.01","drug","word","1","no"
"Double X multivitamin","MULTIVITAMIN","02236800","A11AA03","88:28.01","drug","word","2","yes"
"Dovobet ointment","DOVOBET OINTMENT","02244126","D05AX52","84:06.00 84:92.00","drug","direct","2","no"
"Dovobet ointment","DOVOBET OINTMENT","02244126","D05AX52","84:06.00 84:92.00","drug","direct","2","no"
"dried ginger","GINGER","02240785","","92:01.00","drug","word","1","yes"
"Dry Eye Omega","Oméga","80060745","","","natural","word","1",""
"easy sleep","Sleep","80031734","","","natural","word","1",""
"echinacea","ECHINACEA","02232056","","92:02.00","drug","direct","1","yes"
"echinacea","ECHINACEA","02232056","","92:02.00","drug","direct","1","yes"
"echinacea","ECHINACEA","02232056","","92:02.00","drug","direct","1","yes"
"echinacea 2100mg","ECHINACEA","02232056","","92:02.00","drug","word","1","yes"
"echinacea 300mg","ECHINACEA","02232056","","92:02.00","drug","word","1","yes"
"echinacea purpurea","ECHINACEA PURPUREA","02232474","","92:02.00","drug","direct","1","yes"
"Echinacée","ECHINACEE","02239424","","92:01.00","drug","direct","1","yes"
"Echinamide (Anti-Viral) (Natural Factors)","Echinamide","80022628","","","natural","word","1",""
"eco omega 3","Oméga 3","80002335","","","natural","word","2",""
"Effexor-XR","EFFEXOR XR","02237279","N06AX16","28:16.04.16","drug","simple","1","no"
"ega 3 et vitamine D","VITAMINE D","02136872","A11CC","88:16.00","drug","word","1","yes"
"ELMIRON 100MG","ELMIRON","02029448","C05BA04","92:00.00","drug","word","1","no"
"eltroxin","ELTROXIN","02213192","H03AA01","68:36.04","drug","direct","1","no"
"eltroxin","ELTROXIN","02213192","H03AA01","68:36.04","drug","direct","1","no"
"Eltroxin","ELTROXIN","02213192","H03AA01","68:36.04","drug","direct","1","no"
"eltroxin","ELTROXIN","02213192","H03AA01","68:36.04","drug","direct","1","no"
"Eltroxin","ELTROXIN","02213192","H03AA01","68:36.04","drug","direct","1","no"
"eltroxin","ELTROXIN","02213192","H03AA01","68:36.04","drug","direct","1","no"
"eltroxin","ELTROXIN","02213192","H03AA01","68:36.04","drug","direct","1","no"
"Eltroxin","ELTROXIN","02213192","H03AA01","68:36.04","drug","direct","1","no"
"eltroxin","ELTROXIN","02213192","H03AA01","68:36.04","drug","direct","1","no"
"eltroxin","ELTROXIN","02213192","H03AA01","68:36.04","drug","direct","1","no"
"Eltroxin","ELTROXIN","02213192","H03AA01","68:36.04","drug","direct","1","no"
"eltroxin 0.125 mg","ELTROXIN","02213192","H03AA01","68:36.04","drug","word","1","no"
"eltroxin 0.15","ELTROXIN","02213192","H03AA01","68:36.04","drug","word","1","no"
"emtrix","Emtrix","80032726","","","natural","direct","1",""
"enablex","ENABLEX","02273217","G04BD10","86:12.04","drug","direct","1","no"
"enalapril 10 mg","ENALAPRIL","02343460","C09AA02","24:32.04","drug","word","1","no"
"Enbrel 50mg","ENBREL","02242903","L04AB01","92:36.00","drug","word","1","no"
"Enerex Memoria","Memoria","80036985","","","natural","word","1",""
"Ensure - High Protein","Protein","80057932","","","natural","word","1",""
"ensure plus","Plus","80039392","","","natural","word","1",""
"Enteric Coated ASA","ENTERIC COATED A.S.A","02264706","N02BA01","28:08.04.24","drug","simple","1","no"
"entex la","ENTEX LA","02231572","R05CA10","48:16.00","drug","direct","1","no"
"entrophen","ENTROPHEN","02242281","B01AC06","28:08.04.24","drug","direct","1","no"
"entrophen","ENTROPHEN","02242281","B01AC06","28:08.04.24","drug","direct","1","no"
"epival 750 mg","EPIVAL","00596418","N03AG01","28:12.92","drug","word","1","no"
"epuration totale des reins","Reins","80003473","","","natural","word","1",""
"Equate","Life Blackhead Clearing Astringent","80004428","","","natural","direct","1",""
"equate - regulateur de l"acidite","Life Blackhead Clearing Astringent","80004428","","","natural","word","1",""
"Equate antihistamine","Life Blackhead Clearing Astringent","80004428","","","natural","word","1",""
"Equate B-100 Complex","Life Blackhead Clearing Astringent","80004428","","","natural","word","3",""
"equate brand vitamin e","VITAMIN E","02231214","A11HA03","88:20.00","drug","word","1","yes"
"equate century plus multivitamin","CENTURY PLUS","02232447","A11AA03","88:28.01","drug","word","2","yes"
"Equate Glucosamine Sulphate","Glucosamine","80000334","","","natural","word","3",""
"Equate Iron Ferrous Gluconate","IRON","02049732","B03AA03 B03AE10","20:04.00 88:29.00","drug","word","2","yes"
"Equate Omega 3","Oméga 3","80002335","","","natural","word","3",""
"equate vitamin c 500 mg","VITAMIN C","00780634","A11GA01","88:12.00","drug","word","2","yes"
"Erythromycin cream","ERYTHROMYCIN","02282712","","","drug","word","1","no"
"essentials for women","Essentials For Women","80029695","","","natural","direct","1",""
"ester c","ESTER C","02153971","A11GA01","88:12.00","drug","direct","1","yes"
"Ester-C","ESTER-C","02233239","A11GA01","88:12.00","drug","direct","1","yes"
"Ester-C  1000 mg","ESTER-C","02233239","A11GA01","88:12.00","drug","word","1","yes"
"Ester-C (Vit C)","ESTER-C","02233239","A11GA01","88:12.00","drug","word","1","yes"
"estrace","ESTRACE","02148595","G03CA03","68:16.04","drug","direct","1","no"
"Estrace 0.5mg","ESTRACE","02148595","G03CA03","68:16.04","drug","word","1","no"
"estradiol","ESTRADIOL","02451239","G03CA03","68:16.04","drug","direct","1","no"
"estradiol hemihydrate","ESTRADIOL","02451239","G03CA03","68:16.04","drug","word","1","no"
"ESTRADOT 25 (ESTRADIOL 0.025MG)/24h timbre","ESTRADOT 25","02245676","G03CA03","68:16.04","drug","word","1","no"
"estragyn vaginal cream","ESTRAGYN VAGINAL CREAM","00727369","G03CA07","68:16.04","drug","direct","1","no"
