"input","match","din/npn","dtc","ahfs","database","pres","type","both"
"capsules anti stress","ANTI STRESS","00586188","A11AA03","","drug","","word","no"
"capsules anti stress","STRESS","00167002","A11JB","","drug","","word","yes"
"CARBOCAL D   1000 (500MG-1000UI)","Carbocal","80004123","","","natural","","word",""
"CARBOCAL D   1000 (500MG-1000UI)","Carbocal D","80005017","","","natural","","word",""
"carbocal d 400 mast","Carbocal","80004123","","","natural","YES","word",""
"carbocal d 400 mast","Carbocal D","80005017","","","natural","YES","word",""
"carbocal d 400 mast","Carbocal D 400","80002899","","","natural","YES","word",""
"carbocal d 500 mg 1000 ui","Carbocal","80004123","","","natural","YES","word",""
"carbocal d 500 mg 1000 ui","Carbocal D","80005017","","","natural","YES","word",""
"carbocal D 500mg +400UI","Carbocal","80004123","","","natural","YES","word",""
"carbocal D 500mg +400UI","Carbocal D","80005017","","","natural","YES","word",""
"carbocal d 500mg-400ui","Carbocal","80004123","","","natural","YES","word",""
"carbocal d 500mg-400ui","Carbocal D","80005017","","","natural","YES","word",""
"carbocal d bleu foncé","Carbocal","80004123","","","natural","","word",""
"carbocal d bleu foncé","Carbocal D","80005017","","","natural","","word",""
"carbocal D400 suplement de calcium 500mg avec vitamine D 400ui.","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"carbocal D400 suplement de calcium 500mg avec vitamine D 400ui.","CALCIUM 500MG","02240977","A12AA20","88:29.00","drug","","word","yes"
"carbocal D400 suplement de calcium 500mg avec vitamine D 400ui.","VITAMINE D","02136872","A11CC","88:16.00","drug","","word","yes"
"care one calcium 600 with d3","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"care one calcium 600 with d3","CALCIUM 600","02239457","A12AA04","40:12.00","drug","","word","yes"
"carlson the very finest norwegian fish oil","Fish Oil","80000846","","","natural","","word",""
"carlson the very finest norwegian fish oil","The Very Finest Norwegian Fish Oil","80013076","","","natural","","word",""
"Centrum 50+ Silver","Argent Colloïdal","80069956","","","natural","NO","word",""
"Centrum 50+ Silver","Centrum","02246362","","","natural","NO","word",""
"CENTRUM 50ANS ET PLUS suplement et multuvitamines","Centrum","02246362","","","natural","NO","word",""
"CENTRUM 50ANS ET PLUS suplement et multuvitamines","Plus","80039392","","","natural","NO","word",""
"centrum calcium 600 mg","CALCIUM","02175584","A12AA","88:29.00","drug","YES","word","yes"
"centrum calcium 600 mg","CALCIUM 600","02239457","A12AA04","40:12.00","drug","YES","word","yes"
"Centrum Cardio supplements","Cardio","80024210","","","natural","","word",""
"Centrum Cardio supplements","Centrum","02246362","","","natural","","word",""
"Centrum Cardio supplements","Centrum Cardio","80022930","","","natural","","word",""
"centrum daily","Centrum","02246362","","","natural","","word",""
"centrum daily","Multivitamins & Multiminerals Formula For Women Tablet","02242937","","","natural","","word",""
"centrum femmes","Centrum","02246362","","","natural","","word",""
"centrum femmes","Promax","80043463","","","natural","","word",""
"centrum for women multivitamin","FOR WOMEN","02240798","A11JB","88:28.01","drug","","word","no"
"centrum for women multivitamin","MULTIVITAMIN","02236800","","","drug","","word","yes"
"Centrum multi-vitamin","Centrum","02246362","","","natural","","word",""
"Centrum multi-vitamin","Multi-Vitamin","80043050","","","natural","","word",""
"Centrum Multivitamin for Women","FOR WOMEN","02240798","A11JB","88:28.01","drug","","word","no"
"Centrum Multivitamin for Women","MULTIVITAMIN","02236800","","","drug","","word","yes"
"centrum plus","Centrum","02246362","","","natural","NO","word",""
"centrum plus","Plus","80039392","","","natural","NO","word",""
"Centrum Select 50 plus","50 PLUS","02073102","A11AA03","88:28.00","drug","NO","word","no"
"Centrum Select 50 plus","CENTRUM SELECT","02237688","A11AA03","88:28.01","drug","NO","word","yes"
"centrum select 50+ multi","CENTRUM SELECT","02237688","A11AA03","88:28.01","drug","","word","yes"
"centrum select 50+ multi","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"Centrum Select 50+ Multivitamin","CENTRUM SELECT","02237688","A11AA03","88:28.01","drug","","word","yes"
"Centrum Select 50+ Multivitamin","MULTIVITAMIN","02236800","","","drug","","word","yes"
"centrum select multi","CENTRUM SELECT","02237688","A11AA03","88:28.01","drug","","word","yes"
"centrum select multi","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"centrum select multivitamin","CENTRUM SELECT","02237688","A11AA03","88:28.01","drug","","word","yes"
"centrum select multivitamin","MULTIVITAMIN","02236800","","","drug","","word","yes"
"centrum select plus multivitamin","CENTRUM SELECT","02237688","A11AA03","88:28.01","drug","","word","yes"
"centrum select plus multivitamin","MULTIVITAMIN","02236800","","","drug","","word","yes"
"Centrum Silver Multi-vitamin","Argent Colloïdal","80069956","","","natural","","word",""
"Centrum Silver Multi-vitamin","Centrum","02246362","","","natural","","word",""
"Centrum Silver Multi-vitamin","Multi-Vitamin","80043050","","","natural","","word",""
"Centrum silver multivite","Argent Colloïdal","80069956","","","natural","","word",""
"Centrum silver multivite","Centrum","02246362","","","natural","","word",""
"centrum silver women's multivitamin","MULTIVITAMIN","02236800","","","drug","","word","yes"
"centrum silver women's multivitamin","WOMEN'S","02244123","A11AA03","88:28.01","drug","","word","yes"
"centrum vitamin","Centrum","02246362","","","natural","","word",""
"centrum vitamin","Daily Multi Vitamin","80067478","","","natural","","word",""
"Centrum women's formula multivitamin","MULTIVITAMIN","02236800","","","drug","","word","yes"
"Centrum women's formula multivitamin","WOMEN'S","02244123","A11AA03","88:28.01","drug","","word","yes"
"Centrum women's formula multivitamin","WOMEN'S FORMULA","02230702","A11AA03","88:28.01","drug","","word","yes"
"century silver for adults 50+ multivitamin and mineral","CENTURY SILVER","02234265","A11AA03","88:28.01","drug","","word","yes"
"century silver for adults 50+ multivitamin and mineral","MULTIVITAMIN","02236800","","","drug","","word","yes"
"century silver for adults 50+ multivitamin and mineral","MULTIVITAMIN AND MINERAL","02245912","A11JB","88:28.01","drug","","word","yes"
"chewable multi vitamin for women","FOR WOMEN","02240798","A11JB","88:28.01","drug","","word","no"
"chewable multi vitamin for women","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"choline inositol","Choline","80007680","","","natural","","word",""
"choline inositol","Inositol","80046480","","","natural","","word",""
"Chondroitin plus Glucosamine  1200mg / 1500mg","Chondroitin","80001847","","","natural","","word",""
"Chondroitin plus Glucosamine  1200mg / 1500mg","Glucosamine","80000334","","","natural","","word",""
"Chondroitin plus Glucosamine  1200mg / 1500mg","Plus","80039392","","","natural","","word",""
"chromium plus  200mcg   Vanadyl Sulphate 100mcg","CHROMIUM","02241202","A12CX","88:29.00","drug","","word","yes"
"chromium plus  200mcg   Vanadyl Sulphate 100mcg","CHROMIUM PLUS","02241947","A12CX","88:29.00","drug","","word","yes"
"Citracal Calcium Citrate","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"Citracal Calcium Citrate","CALCIUM CITRATE","02231961","A12AA","88:29.00","drug","","word","yes"
"CO IRBESARTAN/HCT (IRBESARTAN 150MG, HYDROCHLOROTHIAZIDE 12.5MG)","HYDROCHLOROTHIAZIDE","02360594","C03AA03","40:28.20","drug","YES","word","no"
"CO IRBESARTAN/HCT (IRBESARTAN 150MG, HYDROCHLOROTHIAZIDE 12.5MG)","IRBESARTAN/HCT","02434261","C09DA04","24:32.08 40:28.20","drug","YES","word","no"
"co q10 and omega 3","Co Q10","80035523","","","natural","","word",""
"co q10 and omega 3","Oméga","80060745","","","natural","","word",""
"co q10 and omega 3","Oméga 3","80002335","","","natural","","word",""
"coenzyme q 10","CO-ENZYME Q-10","02165147","C01EB09","88:30.00","drug","","simple","yes"
"coenzyme q 10","COENZYME Q-10","02237920","C01EB09","88:30.00","drug","","simple","yes"
"coenzyme q 10","COENZYME Q10","02229620","C01EB09","88:30.00","drug","","simple","yes"
"coenzyme q 10","COENZYME Q10 +","02230240","C01EB09","88:30.00","drug","","simple","no"
"Collagen Glucosamine","Collagen","80028920","","","natural","","word",""
"Collagen Glucosamine","Glucosamine","80000334","","","natural","","word",""
"complete diabetic multivitamin formula","COMPLETE","02427559","N02BE51","48:08.00","drug","","word","yes"
"complete diabetic multivitamin formula","MULTIVITAMIN","02236800","","","drug","","word","yes"
"Complete multivitamines","COMPLETE","02427559","N02BE51","48:08.00","drug","NO","word","yes"
"Complete multivitamines","MULTIVITAMINES","02237421","","88:28.00","drug","NO","word","yes"
"coversyl plus 4/1.25mg","COVERSYL","02123282","C09AA04","24:32.04","drug","","word","no"
"coversyl plus 4/1.25mg","COVERSYL PLUS","02246569","C09BA04","24:32.04 40:28.24","drug","","word","no"
"Cranberry Vitamin","Cranberry","80000286","","","natural","","word",""
"Cranberry Vitamin","Daily Multi Vitamin","80067478","","","natural","","word",""
"Creatine Freak - hybrid concentrated creatine pill","Creatine","80008844","","","natural","","word",""
"Creatine Freak - hybrid concentrated creatine pill","Creatine Freak","80041519","","","natural","","word",""
"curves omega 3","Oméga","80060745","","","natural","NO","word",""
"curves omega 3","Oméga 3","80002335","","","natural","NO","word",""
"D drops vitamin D3","Daily Multi Vitamin","80067478","","","natural","","word",""
"D drops vitamin D3","Vitamin D3","02238918","","","natural","","word",""
"diovan valsartin hydrochlorothiazide","DIOVAN","02270528","C09CA03","24:32.08","drug","","word","no"
"diovan valsartin hydrochlorothiazide","HYDROCHLOROTHIAZIDE","02360594","C03AA03","40:28.20","drug","","word","no"
"dm glucosamine 760 mg chondroitin 100 mg","Chondroitin","80001847","","","natural","","word",""
"dm glucosamine 760 mg chondroitin 100 mg","Glucosamine","80000334","","","natural","","word",""
"Double X multivitamin","DOUBLE X","02244249","A11AA03","88:28.01","drug","NO","word","no"
"Double X multivitamin","MULTIVITAMIN","02236800","","","drug","NO","word","yes"
"eco omega 3","Oméga","80060745","","","natural","","word",""
"eco omega 3","Oméga 3","80002335","","","natural","","word",""
"Equate B-100 Complex","B-100 Complex","80017253","","","natural","","word",""
"Equate B-100 Complex","B-100 Complex Timed Release","80016818","","","natural","","word",""
"Equate B-100 Complex","Life Blackhead Clearing Astringent","80004428","","","natural","","word",""
"equate century plus multivitamin","CENTURY PLUS","02232447","A11AA03","88:28.01","drug","","word","yes"
"equate century plus multivitamin","MULTIVITAMIN","02236800","","","drug","","word","yes"
"Equate Glucosamine Sulphate","Glucosamine","80000334","","","natural","","word",""
"Equate Glucosamine Sulphate","Glucosamine Sulphate","80000079","","","natural","","word",""
"Equate Glucosamine Sulphate","Life Blackhead Clearing Astringent","80004428","","","natural","","word",""
"Equate Iron Ferrous Gluconate","FERROUS GLUCONATE","02245389","B03AA03","20:04.00","drug","","word","yes"
"Equate Iron Ferrous Gluconate","IRON","02049732","B03AE10","88:29.00","drug","","word","yes"
"Equate Omega 3","Life Blackhead Clearing Astringent","80004428","","","natural","","word",""
"Equate Omega 3","Oméga","80060745","","","natural","","word",""
"Equate Omega 3","Oméga 3","80002335","","","natural","","word",""
"equate vitamin c 500 mg","VITAMIN C","00780634","A11GA01","88:12.00","drug","","word","yes"
"equate vitamin c 500 mg","VITAMIN C 500 MG","02244963","A11GA01","88:12.00","drug","","word","yes"
"euro fer","Euro-Fer","02237556","","","natural","NO","simple",""
"euro fer","Eurofer","80004799","","","natural","NO","simple",""
"Exact brand acidophilus","Acidophilus","80012580","","","natural","","word",""
"Exact brand acidophilus","Chu Nicotine Anti Smoking Aid, 2mg","80025660","","","natural","","word",""
"exact brand multivitamin and multiminerals","MULTIMINERALS","00656585","","88:29.00","drug","NO","word","no"
"exact brand multivitamin and multiminerals","MULTIVITAMIN","02236800","","","drug","NO","word","yes"
"Exact Ginkgo Biloba","GINKGO","02232059","","92:02.00","drug","","word","yes"
"Exact Ginkgo Biloba","GINKGO BILOBA","02233146","","92:02.00","drug","","word","yes"
"Excedrin Extra Strength Acetaminophen, Aspirin (NSAID) and Caffeine Pain Reliever Aid","CAFFEINE","02229824","N06BC01","28:20.32","drug","","word","yes"
"Excedrin Extra Strength Acetaminophen, Aspirin (NSAID) and Caffeine Pain Reliever Aid","EXCEDRIN","01990683","N02BE51","28:08.92","drug","","word","no"
"Extra strength krill oil","Extra","80062086","","","natural","","word",""
"Extra strength krill oil","Extra Strength Krill","80047239","","","natural","","word",""
"Extra strength krill oil","Krill","80033805","","","natural","","word",""
"Extra strength krill oil","Krill Oil","80020632","","","natural","","word",""
"Extra strength krill oil","Strength","80060537","","","natural","","word",""
"extra strength multi-product","Extra","80062086","","","natural","","word",""
"extra strength multi-product","Strength","80060537","","","natural","","word",""
"ez sleep md","Ez Sleep","80051888","","","natural","","word",""
"ez sleep md","Sleep","80031734","","","natural","","word",""
"fast arthritis relief +","Arthritis Relief","80060844","","","natural","","word",""
"fast arthritis relief +","Relief","80051410","","","natural","","word",""
"fast arthritis relief +","Relief +","80061034","","","natural","","word",""
"Femance Vitex Combo","Echinasera Iii","80030449","","","natural","","word",""
"Femance Vitex Combo","Femance Smooth Transition","80032613","","","natural","","word",""
"Femance Vitex Combo","Vitex","80013651","","","natural","","word",""
"fish and krill oil","Krill","80033805","","","natural","NO","word",""
"fish and krill oil","Krill Oil","80020632","","","natural","NO","word",""
"fish oil Co Q 10","Co Q 10","80059577","","","natural","","word",""
"fish oil Co Q 10","Fish Oil","80000846","","","natural","","word",""
"flax omega 3 ALA","Oméga","80060745","","","natural","","word",""
"flax omega 3 ALA","Oméga 3","80002335","","","natural","","word",""
"Formula Forte Seniors","Forte","80066882","","","natural","","word",""
"Formula Forte Seniors","Multivitamins And Minerals Formula Forte With Lutein","80027371","","","natural","","word",""
"Formula senior w/lutein and lycopene","Lycopene","80009675","","","natural","","word",""
"Formula senior w/lutein and lycopene","Multivitamins And Minerals Senior With Lutein And Lycopene","80006492","","","natural","","word",""
"Formula senior w/lutein and lycopene","Multivitamins And Minerals With Lutein And Lycopene Formula Senior","80007355","","","natural","","word",""
"GC Control-Natural Blood Sugar Support Supplement","Blood Sugar","80040042","","","natural","","word",""
"GC Control-Natural Blood Sugar Support Supplement","Blood Sugar Support","80029032","","","natural","","word",""
"gellule omega 3","Oméga","80060745","","","natural","","word",""
"gellule omega 3","Oméga 3","80002335","","","natural","","word",""
"genacol  plus- glucosamine","Genacol","80022455","","","natural","YES","word",""
"genacol  plus- glucosamine","Glucosamine","80000334","","","natural","YES","word",""
"Genacol Bioactive Complex of hydrolyzed collagen","Collagen","80028920","","","natural","","word",""
"Genacol Bioactive Complex of hydrolyzed collagen","Genacol","80022455","","","natural","","word",""
"Genacol Bioactive Complex of hydrolyzed collagen","Hydrolyzed Collagen","80042634","","","natural","","word",""
"Generic multivitamin and mineral supplement","MULTIVITAMIN","02236800","","","drug","","word","yes"
"Generic multivitamin and mineral supplement","MULTIVITAMIN AND MINERAL","02245912","A11JB","88:28.01","drug","","word","yes"
"glucosamine - 750 mg (kirkland brand)","Glucosamine","80000334","","","natural","","word",""
"glucosamine - 750 mg (kirkland brand)","Glucosamine - 750 Mg","80002023","","","natural","","word",""
"glucosamine and chondroitin sulfate 500 mg, 400 mg","Chondroitin","80001847","","","natural","","word",""
"glucosamine and chondroitin sulfate 500 mg, 400 mg","Chondroitin Sulfate","80001333","","","natural","","word",""
"glucosamine and chondroitin sulfate 500 mg, 400 mg","Glucosamine","80000334","","","natural","","word",""
"glucosamine and chondroitin sulfate 500 mg, 400 mg","Glucosamine And Chondroitin","80043658","","","natural","","word",""
"glucosamine and chondroitin sulfate 500 mg, 400 mg","Glucosamine And Chondroitin Sulfate","80008861","","","natural","","word",""
"Glucosamine Chondroitin  1350mg","Chondroitin","80001847","","","natural","","word",""
"Glucosamine Chondroitin  1350mg","Glucosamine","80000334","","","natural","","word",""
"Glucosamine Chondroitin  1350mg","Glucosamine Chondroitin","80001605","","","natural","","word",""
"glucosamine chondroitin  500/400/400","Chondroitin","80001847","","","natural","","word",""
"glucosamine chondroitin  500/400/400","Glucosamine","80000334","","","natural","","word",""
"glucosamine chondroitin  500/400/400","Glucosamine Chondroitin","80001605","","","natural","","word",""
"glucosamine chondroitin & msm","Chondroitin","80001847","","","natural","","word",""
"glucosamine chondroitin & msm","Glucosamine","80000334","","","natural","","word",""
"glucosamine chondroitin & msm","Glucosamine Chondroitin","80001605","","","natural","","word",""
"Glucosamine Chondroitin (500/400mg)","Chondroitin","80001847","","","natural","","word",""
"Glucosamine Chondroitin (500/400mg)","Glucosamine","80000334","","","natural","","word",""
"Glucosamine Chondroitin (500/400mg)","Glucosamine Chondroitin","80001605","","","natural","","word",""
"glucosamine chondroitin 500/400","Chondroitin","80001847","","","natural","","word",""
"glucosamine chondroitin 500/400","Glucosamine","80000334","","","natural","","word",""
"glucosamine chondroitin 500/400","Glucosamine Chondroitin","80001605","","","natural","","word",""
"glucosamine chondroitin and MSM 500 mg, 400 mg, 400 mg","Chondroitin","80001847","","","natural","","word",""
"glucosamine chondroitin and MSM 500 mg, 400 mg, 400 mg","Glucosamine","80000334","","","natural","","word",""
"glucosamine chondroitin and MSM 500 mg, 400 mg, 400 mg","Glucosamine Chondroitin","80001605","","","natural","","word",""
"glucosamine chondroitin and MSM 500 mg, 400 mg, 400 mg","Msm 500","80023156","","","natural","","word",""
"glucosamine chondroitin and sulfate","Chondroitin","80001847","","","natural","","word",""
"glucosamine chondroitin and sulfate","Glucosamine","80000334","","","natural","","word",""
"glucosamine chondroitin and sulfate","Glucosamine Chondroitin","80001605","","","natural","","word",""
"glucosamine chondroitin double strength","Chondroitin","80001847","","","natural","NO","word",""
"glucosamine chondroitin double strength","Glucosamine","80000334","","","natural","NO","word",""
"glucosamine chondroitin double strength","Glucosamine Chondroitin","80001605","","","natural","NO","word",""
"glucosamine chondroitin double strength","Pure Polar","80070819","","","natural","NO","word",""
"glucosamine chondroitin double strength","Strength","80060537","","","natural","NO","word",""
"glucosamine chondroitin MSM  300/240/300mg","Chondroitin","80001847","","","natural","","word",""
"glucosamine chondroitin MSM  300/240/300mg","Glucosamine","80000334","","","natural","","word",""
"glucosamine chondroitin MSM  300/240/300mg","Glucosamine Chondroitin","80001605","","","natural","","word",""
"glucosamine chondroitin MSM  300/240/300mg","Glucosamine Chondroitin Msm","80006606","","","natural","","word",""
"Glucosamine Chondroitine 500/400","Chondroitine","80000923","","","natural","","word",""
"Glucosamine Chondroitine 500/400","Glucosamine","80000334","","","natural","","word",""
"glucosamine chrondroitin","Chrondroitin","80000237","","","natural","","word",""
"glucosamine chrondroitin","Glucosamine","80000334","","","natural","","word",""
"Glucosamine Chrondroitin MSM","Chrondroitin","80000237","","","natural","","word",""
"Glucosamine Chrondroitin MSM","Glucosamine","80000334","","","natural","","word",""
"glucosamine complex en liquid","Glucosamine","80000334","","","natural","","word",""
"glucosamine complex en liquid","Glucosamine Complex","80024645","","","natural","","word",""
"glucosamine et msm 500 400 400 mg","Glucosamine","80000334","","","natural","","word",""
"glucosamine et msm 500 400 400 mg","Msm 500","80023156","","","natural","","word",""
"glucosamine extra forte","Extra","80062086","","","natural","","word",""
"glucosamine extra forte","Forte","80066882","","","natural","","word",""
"glucosamine extra forte","Glucosamine","80000334","","","natural","","word",""
"glucosamine extra forte","Glucosamine Extra","80020980","","","natural","","word",""
"glucosamine msm 375 mg, 500 mg","Glucosamine","80000334","","","natural","","word",""
"glucosamine msm 375 mg, 500 mg","Glucosamine & Msm 375 Mg / 500 Mg","80002545","","","natural","","word",""
"glucosamine sans crustace 500mg9 douleurs articulaires et arthroses) marque jamieson","Douleurs","80022154","","","natural","NO","word",""
"glucosamine sans crustace 500mg9 douleurs articulaires et arthroses) marque jamieson","Glucosamine","80000334","","","natural","NO","word",""
"glucosamine sulfate - 500 mg","Glucosamine","80000334","","","natural","","word",""
"glucosamine sulfate - 500 mg","Glucosamine Sulfate","80000026","","","natural","","word",""
"Glucosamine sulfate and choindroitin sulfate","Glucosamine","80000334","","","natural","NO","word",""
"Glucosamine sulfate and choindroitin sulfate","Glucosamine Sulfate","80000026","","","natural","NO","word",""
"glucosamine sulphate   750mg","Glucosamine","80000334","","","natural","","word",""
"glucosamine sulphate   750mg","Glucosamine Sulphate","80000079","","","natural","","word",""
"Glucosamine, Chondroitin and MSM 500/400/400mg","Chondroitin","80001847","","","natural","","word",""
"Glucosamine, Chondroitin and MSM 500/400/400mg","Glucosamine, Chondroitin And Msm","80043624","","","natural","","word",""
"Glucosamine, Joint Ease","Ease","80061662","","","natural","NO","word",""
"Glucosamine, Joint Ease","Joint Ease","80039079","","","natural","NO","word",""
"GNC Women's Ultra Mega Active Multivitamin Packs","MULTIVITAMIN","02236800","","","drug","","word","yes"
"GNC Women's Ultra Mega Active Multivitamin Packs","WOMEN'S","02244123","A11AA03","88:28.01","drug","","word","yes"
"green coffee bean 400 mg","Green Coffee","80048746","","","natural","","word",""
"green coffee bean 400 mg","Green Coffee Bean","80040670","","","natural","","word",""
"green coffee bean 400mg","Green Coffee","80048746","","","natural","","word",""
"green coffee bean 400mg","Green Coffee Bean","80040670","","","natural","","word",""
"Greens Plus","Greens","80025575","","","natural","","word",""
"Greens Plus","Plus","80039392","","","natural","","word",""
"Greens Plus 9 grams","Greens","80025575","","","natural","","word",""
"Greens Plus 9 grams","Plus","80039392","","","natural","","word",""
"greens plus bone builder","Bone Builder","80025338","","","natural","","word",""
"greens plus bone builder","Greens","80025575","","","natural","","word",""
"greens plus bone builder","Plus","80039392","","","natural","","word",""
"health balance multi srain probiotic","BALANCE","00390496","V07AV","38:00.00","drug","","word","yes"
"health balance multi srain probiotic","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"health balance multi srain probiotic","PROBIOTIC","02172909","A07FA01","56:08.00","drug","","word","yes"
"Health Balance Omega-3","BALANCE","00390496","V07AV","38:00.00","drug","","word","yes"
"Health Balance Omega-3","OMEGA-3","02248743","C10AX06","88:30.00","drug","","word","yes"
"health balance vitamin d","BALANCE","00390496","V07AV","38:00.00","drug","","word","yes"
"health balance vitamin d","VITAMIN D","02241564","A11CC","88:16.00","drug","","word","yes"
"herbal magic essience chromagic","Chromagic","80007504","","","natural","","word",""
"herbal magic essience chromagic","Essience Chromagic","80020948","","","natural","","word",""
"High Alpha  Whey Protein","Alpha","80036963","","","natural","","word",""
"High Alpha  Whey Protein","Protein","80057932","","","natural","","word",""
"High Alpha  Whey Protein","Whey Protein","80033259","","","natural","","word",""
"High Potency B Vitamin","Daily Multi Vitamin","80067478","","","natural","","word",""
"High Potency B Vitamin","No Fishy Aftertaste Extra Strength Omega-3 (700 Mg)","80066832","","","natural","","word",""
"hmf ibs relief","Ibs Relief","80060987","","","natural","","word",""
"hmf ibs relief","Relief","80051410","","","natural","","word",""
"I care plus","I Care","80068239","","","natural","","word",""
"I care plus","Plus","80039392","","","natural","","word",""
"ild Pacific Salmon Oil","Salmon Oil","80003162","","","natural","","word",""
"ild Pacific Salmon Oil","Salmon Oil","80043401","","","natural","","word",""
"innate choice d-sufficiency vitamin d3 drops","Daily Multi Vitamin","80067478","","","natural","NO","word",""
"innate choice d-sufficiency vitamin d3 drops","Pediavit D","80004595","","","natural","NO","word",""
"innate choice d-sufficiency vitamin d3 drops","Vitamin D3","02238918","","","natural","NO","word",""
"innate choice d-sufficiency vitamin d3 drops","Vitamin D3 Drops 1000 Iu","80021508","","","natural","NO","word",""
"iron ferrous gluconate","FERROUS GLUCONATE","02245389","B03AA03","20:04.00","drug","NO","word","yes"
"iron ferrous gluconate","FERROUS GLUCONATE","02245389","B03AA03","20:04.00","drug","","word","yes"
"iron ferrous gluconate","IRON","02049732","B03AE10","88:29.00","drug","NO","word","yes"
"iron ferrous gluconate","IRON","02049732","B03AE10","88:29.00","drug","","word","yes"
"Iron Ferrous Gluconate  324 mg","FERROUS GLUCONATE","02245389","B03AA03","20:04.00","drug","","word","yes"
"Iron Ferrous Gluconate  324 mg","IRON","02049732","B03AE10","88:29.00","drug","","word","yes"
"ISYS ocular essentials macular protection plus","Macular Protection Plus","80026397","","","natural","","word",""
"ISYS ocular essentials macular protection plus","Plus","80039392","","","natural","","word",""
"jade greenzymes barley grass","Barley","80024879","","","natural","","word",""
"jade greenzymes barley grass","Barley Grass","80053431","","","natural","","word",""
"jamieson brand glucosamine 500 mg","Glucosamine","80000334","","","natural","","word",""
"jamieson brand glucosamine 500 mg","Glucosamine 500 Mg","80000023","","","natural","","word",""
"jamieson brand omega 3","Oméga","80060745","","","natural","NO","word",""
"jamieson brand omega 3","Oméga 3","80002335","","","natural","NO","word",""
"jamieson calcium  333 mg magnesium 167 mg","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"jamieson calcium  333 mg magnesium 167 mg","MAGNESIUM","00532479","A12CC","88:29.00","drug","","word","yes"
"Jamieson Calcium citrate D3","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"Jamieson Calcium citrate D3","CALCIUM CITRATE","02231961","A12AA","88:29.00","drug","","word","yes"
"jamieson calcium magnesium vitamin d3","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"jamieson calcium magnesium vitamin d3","MAGNESIUM","00532479","A12CC","88:29.00","drug","","word","yes"
"jamieson multi women's vitamin","MULTI","02243300","S01XA20","52:12.00","drug","YES","word","yes"
"jamieson multi women's vitamin","WOMEN'S","02244123","A11AA03","88:28.01","drug","YES","word","yes"
"jamieson omega 3 -6-9 oil 1200 mg","Oméga","80060745","","","natural","","word",""
"jamieson omega 3 -6-9 oil 1200 mg","Oméga 3","80002335","","","natural","","word",""
"jamieson omega 3 -6-9 oil 1200 mg","Omega 3-6-9","80064047","","","natural","","word",""
"jamieson regular vita vim","Formula F","80052440","","","natural","","word",""
"jamieson regular vita vim","Regular Vita Vim","80016969","","","natural","","word",""
"jamieson regular vita vim","Vita Vim","80054236","","","natural","","word",""
"jamieson salmon fish oil 1200 mg","Fish Oil","80000846","","","natural","","word",""
"jamieson salmon fish oil 1200 mg","Fish Oil 1200 Mg","80052834","","","natural","","word",""
"jamieson salmon fish oil 1200 mg","Salmon Fish Oil","80055510","","","natural","","word",""
"jamieson salmon oil 1000mg","Pure Salmon Oil","80059146","","","natural","","word",""
"jamieson salmon oil 1000mg","Salmon Oil","80003162","","","natural","","word",""
"jamieson vitamin b 12 50 mg","Daily Multi Vitamin","80067478","","","natural","YES","word",""
"jamieson vitamin b 12 50 mg","Vitamin B 12","02212684","","","natural","YES","word",""
"jamieson vitamin b 12 50 mg","Vitamin B-6 Capsules","02240315","","","natural","YES","word",""
"jamieson vitamin b complex 50 mg","VITAMIN B COMPLEX","00609374","","","drug","NO","word","yes"
"jamieson vitamin b complex 50 mg","VITAMIN B COMPLEX 50","02246190","A11EA","88:08.00","drug","NO","word","yes"
"jamieson vitamin c 1000 mg","C 1000","00700827","A11GA01","88:12.00","drug","","word","yes"
"jamieson vitamin c 1000 mg","VITAMIN C","00780634","A11GA01","88:12.00","drug","","word","yes"
"jamieson vitamin c 1000 mg","VITAMIN C 1000","01993895","A11GA01","88:12.00","drug","","word","no"
"jamieson vitamin c 1000 mg","VITAMIN C 1000 MG","02246172","A11GA01","88:12.00","drug","","word","yes"
"jamieson vitamin c 500 mg","VITAMIN C","00780634","A11GA01","88:12.00","drug","","word","yes"
"jamieson vitamin c 500 mg","VITAMIN C 500 MG","02244963","A11GA01","88:12.00","drug","","word","yes"
"jamieson vitamin c 500mg","VITAMIN C","00780634","A11GA01","88:12.00","drug","","word","yes"
"jamieson vitamin c 500mg","VITAMIN C 500MG","02240812","A11GA01","88:12.00","drug","","word","yes"
"jamieson vitamin d3 1000iu","Daily Multi Vitamin","80067478","","","natural","","word",""
"jamieson vitamin d3 1000iu","Vitamin D3","02238918","","","natural","","word",""
"jamieson vitamin d3 1000iu","Vitamin D3 1000iu","80023568","","","natural","","word",""
"Jamiesons Ginkgo Biloba","GINKGO","02232059","","92:02.00","drug","NO","word","yes"
